New Name	Number of larvae	Order	Family
46	2	UND	UND
46	1	UND	UND
46	1	UND	UND
47	1	Stomiiformes	Stomiidae
47	1	Stomiiformes	UND
47	2	Perciformes	Scaridae
47	8	Perciformes	Serranidae
47	1	UND	UND
47	2	UND	UND
48	2	Aulopiformes	Paralepididae
48	1	Perciformes	Labridae
48	11	Perciformes	Serranidae
48	1	UND	UND
48	1	Perciformes	Gobiidae
48	1	UND	UND
48	1	Scorpaeniformes	UND
49	2	Myctophiformes	Myctophidae
49	1	Aulopiformes	Paralepididae
49	1	UND	UND
49	2	Perciformes	Scaridae
49	3	Perciformes	Serranidae
49	1	Perciformes	Labridae
49	1	Pleuronectiformes	Bothidae
49	1	UND	UND
49	1	UND	UND
49	1	Scorpaeniformes	UND
50	2	Perciformes	Scaridae
50	1	Perciformes	Labridae
50	6	Perciformes	Serranidae
50	1	UND	UND
50	1	UND	UND
51	3	Perciformes	Serranidae
52	3	Stomiiformes	Stomiidae
52	5	UND	UND
52	10	Perciformes	Serranidae
52	2	UND	UND
52	1	UND	UND
52	1	Scorpaeniformes	UND
53	5	Perciformes	Serranidae
53	1	UND	UND
53	1	UND	UND
53	1	UND	UND
54	1	Stomiiformes	Sternoptychidae
54	2	UND	UND
54	1	UND	UND
55	2	Stomiiformes	Sternoptychidae
55	1	Tetraodontiformes	Tetraodontidae
55	1	Perciformes	Apogonidae
56	1	Anguilliformes	Congridae
56	2	UND	UND
57	3	Perciformes	Labridae
57	1	Pleuronectiformes	Bothidae
57	1	Aulopiformes	Paralepididae
57	1	Scorpaeniformes	UND
57	1	Scorpaeniformes	UND
57	1	UND	UND
57	2	Perciformes	Serranidae
57	1	UND	UND
57	1	UND	UND
57	1	UND	UND
57	1	UND	UND
57	1	UND	UND
57	1	Syngnathiformes	Syngnathidae 
58	3	Perciformes	Labridae
58	2	Pleuronectiformes	Bothidae
58	1	Perciformes	Scaridae
58	2	Perciformes	Serranidae
58	1	Stomiiformes	UND
58	1	UND	UND
58	1	UND	UND
58	1	Scorpaeniformes	UND
59	7	Perciformes	Serranidae
59	1	Scorpaeniformes	Scorpaenidae
59	1	Perciformes	Acropomatidae
59	1	UND	UND
59	1	UND	UND
59	1	UND	UND
60	11	Perciformes	Serranidae
60	1	Anguilliformes	UND
60	1	Aulopiformes	Synodontidae
60	1	UND	UND
60	1	Tetraodontiformes	Monacanthidae
60	1	Scorpaeniformes	UND
60	1	UND	UND
63	1	Perciformes	Acanthuridae
63	1	Perciformes	Apogonidae
63	3	Perciformes	Apogonidae
64	1	Perciformes	Lethrinidae
64	1	Perciformes	Pomacentridae
64	1	Lophiiformes	Tetraodontidae
64	1	Perciformes	Apogonidae
64	2	Perciformes	Carangidae
65	6	Perciformes	Carangidae
65	1	Pleuronectiformes	Bothidae
65	1	Perciformes	Pomacentridae
65	1	Perciformes	Scaridae
65	1	Perciformes	Acanthuridae
65	1	Tetraodontiformes	Monacanthidae
65	4	Perciformes	Apogonidae
65	1	Perciformes	UND
65	1	Scorpaeniformes	Scorpaenidae
65	1	UND	UND
66	2	Tetraodontiformes	Monacanthidae
66	1	Perciformes	Acanthuridae
66	1	Perciformes  	Serranidae 
66	2	Perciformes	Carangidae
66	5	Perciformes	Apogonidae
66	1	Perciformes	Gobiidae
66	1	UND	UND
67	1	Scorpaeniformes	Scorpaenidae
67	1	Perciformes	Carangidae
67	1	UND	UND
68	8	Perciformes	Carangidae
68	2	Perciformes	Acanthuridae
68	1	Perciformes	Labridae
68	1	Tetraodontiformes	Monacanthidae
68	2	Scorpaeniformes	UND
68	1	UND	UND
69	4	Perciformes	Acanthuridae
69	1	Pleuronectiformes	Bothidae
69	1	Perciformes	Gobiidae
69	2	Perciformes	Apogonidae
69	2	Perciformes  	Serranidae 
69	1	Perciformes  	Serranidae 
69	2	Perciformes	Carangidae
69	1	Perciformes	Lethrinidae
69	1	UND	UND
69	2	Perciformes	Apogonidae
69	1	Perciformes	Apogonidae
69	1	Myctophiformes	Myctophidae
70	3	Perciformes	Gobiidae
70	1	Lophiiformes	Antennariidae
70	1	Perciformes	Carangidae
71	3	Perciformes	Apogonidae
71	1	Perciformes	Scombridae
72	4	Perciformes	Carangidae
72	1	Perciformes	Acropomatidae
72	2	Perciformes	Gobiidae
72	2	Perciformes	Acanthuridae
72	2	Myctophiformes	Myctophidae
72	1	Perciformes	Symphysanodontidae
73	2	Perciformes	Lethrinidae
73	1	Perciformes  	Serranidae 
73	7	Perciformes	Apogonidae
73	2	Lophiiformes	Tetraodontidae
73	2	Perciformes	Acanthuridae
73	1	Perciformes	Labridae
73	1	Scorpaeniformes	UND
73	3	Perciformes	Carangidae
73	1	UND	UND
73	1	UND	UND
74	3	Perciformes	Carangidae
74	1	Perciformes	Lethrinidae
74	3	Perciformes	Apogonidae
74	1	Perciformes  	Serranidae 
75	1	Lophiiformes	Tetraodontidae
75	1	UND	UND
76	2	Pleuronectiformes	Bothidae
76	2	Perciformes	Acanthuridae
76	1	Perciformes	Labridae
76	1	Perciformes	Apogonidae
76	2	Lophiiformes	Tetraodontidae
76	1	Lophiiformes	Diodontidae
76	32	Perciformes	Gobiidae
76	2	Scorpaeniformes	Scorpaenidae
76	1	Perciformes	Lethrinidae
76	1	Aulopiformes	Synodontidae
76	1	Perciformes	Acropomatidae
76	5	Perciformes	Scaridae
76	1	Perciformes	Acropomatidae
76	1	Scorpaeniformes	Scorpaenidae
76	1	Scorpaeniformes	Scorpaenidae
76	1	UND	UND
76	1	UND	UND
76	10	UND	UND
76	18	UND	UND
76	1	UND	UND
